ID,NAME,CITY,ZIP,COUNTY,PUGET_SOUND,STATE,POPULATION,LOCATION,NETWORK,DETAIL,CONTACT,ADDITIONAL_LOCATION_INFO,IMAGE_LINK,Timestamp,exists,lat_lon,type,location_desc,overhead,??,size,shelves,door,contents,photo,observation,ADDRESS,LAT,LON,exists_short
0,,,,,,,,,,,,,,2025/03/08 9:11:55 PM GMT+2,"Yes, it still exists.","47.731812500000004, -122.34643750000001",Non-refrigerated,Public property (e.g. park or sidewalk),No,Outdoor with a cover,"21,28,17",1.0,No,"Bag of nuts, pack of ramen, bag of pasta, hamburger buns, bottle of orajel ",https://drive.google.com/u/1/open?usp=forms_web&id=18eYFpY6FgPfb2kyJ63WAHxmcu3TM8XV0,There are 3 pantry boxes. None of them have doors. ,14300 linden Ave n,47.73181250000001,-122.34643750000002,YES
1,Rolling Bay Presbyterian Church -Eagle Scout Project by Bjorn Addington,Bainbridge Island,98110.0,Kitsap,Yes,Washington,Urban,Western,Little Free Pantry - Mini Pantry Movement,Shared Pantry,jessica@littlefreepantry.org,,http://mapping.littlefreepantry.org/media/pantry_images/bdc29a80455148a9ba8b71533b75f6c6/20210123_154704.jpg http://mapping.littlefreepantry.org/media/pantry_images/bdc29a80455148a9ba8b71533b75f6c6/20210123_154658.jpg,,,,,,,,,,,,,,11042 Sunrise Drive NE,47.664671000000006,-122.510231,DONT KNOW
2,William Renton Lodge No. 29,Bainbridge Island,98110.0,Kitsap,Yes,Washington,Urban,Western,Little Free Pantry - Mini Pantry Movement,Shared Pantry,WmRentonSecretary@gmail.com,,http://mapping.littlefreepantry.org/media/pantry_images/ae1a6d827d04425db13ab810a933244c/20180506_152035-01.jpeg,,,,,,,,,,,,,,1299 Grow Ave NE,47.635619000000005,-122.525951,DONT KNOW
3,Granny Barb and Cha Cha's Community Kitchen,Bainbridge Island,98110.0,Kitsap,Yes,Washington,Urban,Western,Little Free Pantry - Mini Pantry Movement,Shared Pantry,kayceetaylor11@gmail.com,,http://mapping.littlefreepantry.org/media/pantry_images/5a9bd458bc524f5982bdf6df4893103a/20210114_164559.jpg,,,,,,,,,,,,,,631 Eagle Cliff Rd NE,47.63309799999999,-122.513146,DONT KNOW
4,The Little Free Pantry,Bellevue,98008.0,King,Yes,Washington,Urban,Western,The Little Free Pantry network,Shared Pantry,https://www.thelittlefreepantries.org/find-a-pantry,,https://doc-0g-4o-mymaps.googleusercontent.com/untrusted/hostedimage/hhdb5kbpa7oj96mjit7agv4qug/v25hk8mb2uavel4grddroqr21o/1657652187750/BE36q7KSkKfiOTcTr861PT6LU2GXLiZL/17436084610348673502/5AIsG_vZOmknAh6Yj3PPxWjXABaB-9qnbWqVJzjrGHpj0A1bs4p7Q4RUcDqgomY97t5RYpOwtqk5RVk94vFpnbTUxCX-4YyyWdkRCSqzcBeC56czByYN5cXpFHSZVjJCCAQkUBS1yDGCv8h45p_QFG97tijSrmhCrCXxWjkp0cWHWmRhPzfOvoNAhBwJ2KfXrKVTv3TE?session=0&fife=s16383,,,,,,,,,,,,,,15727 NE 4th St,47.612405,-122.12960299999999,DONT KNOW
5,The Little Free Pantry,Bellingham,98229.0,Whatcom,Yes,Washington,Urban,Western,The Little Free Pantry network,Shared Pantry,https://www.thelittlefreepantries.org/find-a-pantry,,https://doc-14-4o-mymaps.googleusercontent.com/untrusted/hostedimage/hhdb5kbpa7oj96mjit7agv4qug/js3o9a6u3hfooi7umg4rffpaoo/1657652187750/BE36q7KSkKfiOTcTr861PT6LU2GXLiZL/17436084610348673502/5AIsG_vawTk2XnG5BijF4z2r_FYP6sfgKdtz1kwml4dFjTy_nM3BVg4PVb4KK_vP7gECU2TGdjXAy9ZrqVNm6_CJpN57IE0YLORpJNDelFd7yxpUiXxygxlhzZBAP2__5mxFjDzQeTlaqQcpCKy7bDBEwsCuR3cCImfLv7JaZJ4OQ-8ADPoiqbJQFh5Rc6KgeVEMHUuhN?session=0&fife=s16383,,,,,,,,,,,,,,1714 Alabama St,48.76297700000001,-122.45105099999999,DONT KNOW
6,St. John's Lutheran Little Free Pantry,Bellingham,98225.0,Whatcom,Yes,Washington,Urban,Western,Little Free Pantry - Mini Pantry Movement,Shared Pantry,office.stjohnsbellingham@gmail.com,,http://mapping.littlefreepantry.org/media/pantry_images/756684902c364111addbed29711eac8b/LFP_1.jpg http://mapping.littlefreepantry.org/media/pantry_images/756684902c364111addbed29711eac8b/LFP_2.jpg,,,,,,,,,,,,,,2530 Cornwall Ave. ,48.76425999999999,-122.47445200000001,DONT KNOW
7,Chicken Whisperer,Bonney Lake,98391.0,Pierce,Yes,Washington,Urban,Western,Little Free Pantry - Mini Pantry Movement,Shared Pantry,pipkinkiarra@gmail.com,,http://mapping.littlefreepantry.org/media/pantry_images/4c9963bb6e134bcdb8f384bddde9bee0/16215527844092304953017743164629.jpg http://mapping.littlefreepantry.org/media/pantry_images/4c9963bb6e134bcdb8f384bddde9bee0/1621552804769930252363441178705.jpg,,,,,,,,,,,,,,11801 214th Ave E ,47.149147,-122.14380200000001,DONT KNOW
8,The Giving Tree,Bonney Lake,98391.0,Pierce,Yes,Washington,Urban,Western,Little Free Pantry - Mini Pantry Movement,Shared Pantry,mb.kirby17@gmail.com,,http://mapping.littlefreepantry.org/media/pantry_images/4e6bfbc4983d47fb8dbebbc3fb73a0f9/694B9647-0425-4717-BFBD-AA033A78EE51.jpeg,,,,,,,,,,,,,,12005 218th Ave Ct E ,47.147555,-122.13822599999999,DONT KNOW
9,Tall Trees Pantry,Bonney Lake,98391.0,Pierce,Yes,Washington,Urban,Western,Little Free Pantry - Mini Pantry Movement,Shared Pantry,Lisa.jensen42@hotmail.com,,http://mapping.littlefreepantry.org/media/pantry_images/e43123b57435484a9c47142d6f5a0e2a/IMG_20210713_184017928_HDR.jpg,,,,,,,,,,,,,,13510 Cedar Circle East ,47.13337700000002,-122.138426,DONT KNOW
