"Timestamp","Add the micropantry ID you see on the map:","Does the micropantry you see on the map still exists?","What is the closest address to the micropantry?","If you have google Maps on your phone, add the geo-coordinate of the micropantry using the following instructions.","What type of micropantry is it?","Describe the location of the micropantry:","Is there overhead protection (eg. a roof)?","Is the micropantry:","Describe the (approximate) size of the micropantry storage space in inches","Number of shelves:","Is there a tight fitting door?","Briefly describe what’s inside:","Please add a photo","Any other observations?"
"2025/01/23 8:17:35 PM GMT+2","3180","Yes, it still exists.","19540 104th Ave NE Bothell, WA 98011","47.77043N X 122.20040W","Non-refrigerated","Non-profit organization (e.g. by a church of food bank)","Yes","Outdoor with a cover","23""W X 35""H X 13""D","3","Yes","Tightly stocked with cans and packages of pasta, etc, water...  too much to count","https://drive.google.com/u/1/open?usp=forms_web&id=1dUUB2D0JslGQe8ZEzbc1L9YwRyil-5o3","it's on the south side of 196th, in the open, mid-way along the side of the sanctuary of the church"
"2025/01/23 8:34:04 PM GMT+2","14","Yes, it still exists.","20209 108th AVE NE Bothell, WA 98011","47.77478N X 122.19705W","Non-refrigerated","Private residence (e.g. on someone frontyard)","There is an ""integrated"" roof","it's outdoors.  There is a ""top""/roof(?) but no second cover of the type many other outdoor LFPs have","20""T X 25""W X 18""D","2","Yes","Tightly packed with cans and packages on its shelves though there is lots of wasted volume","https://drive.google.com/u/1/open?usp=forms_web&id=1PiyygJ0KdaY016Hwigv39cR9Urv46dOB","On the west sode of 108th adjacent to the side walk and on the north edge of the property"
"2025/01/24 8:30:43 PM GMT+2","143","No, it does not exist anymore, and there is no other micropantry in the same block","","","","","","","","","","","",""
"2025/01/24 8:34:23 PM GMT+2","154","No, it does not exist anymore, and there is no other micropantry in the same block","","","","","","","","","","","",""
"2025/01/24 8:34:53 PM GMT+2","141","No, it does not exist anymore, and there is no other micropantry in the same block","","","","","","","","","","","",""
"2025/01/25 11:40:09 PM GMT+2","227","Yes, it still exists.","8329 14th Ave NW","MJQG+R8R Seattle, Washington","Non-refrigerated","Private residence (e.g. on someone frontyard)","No","Outdoor with a cover","39 H, 12 W, 14 L","3","Yes","Tomatillos, beans, coffee, tea, dish detergent packs, books","https://drive.google.com/u/1/open?usp=forms_web&id=1WY3Hhe8W6ivtT98axUWYXFr5ufa0zn1_","Books and art too."
"2025/01/25 11:54:42 PM GMT+2","228","Yes, it still exists.","8344 16th Ave NW","MJRC+2V3 Seattle, Washington","Non-refrigerated","Private residence (e.g. on someone frontyard)","No","Outdoor with a cover","28H, 23 W, 12 L","4","Yes","Several cans of food, Bisquick, box of instant Japanese noodles, beans, pasta, 3 bags chips, soaps and other toiletries, candles","https://drive.google.com/u/1/open?usp=forms_web&id=1wU4UzvaGZ0jnmkDJ_mQHOl7YQKJVPeQ2","Well stocked. "" In loving memory of Stella Blue. Your generosity will forever shine in our hearts"""
"2025/01/26 12:09:20 AM GMT+2","214","Yes, it still exists.","6510 22nd Ave NW","MJG8+F8J Seattle, Washington","Non-refrigerated","Private residence (e.g. on someone frontyard)","No","Outdoor with a cover","18H, 19 W, 14 L","1","Has a latch, gap at the top of the door","2 cans tuna, 3 mac and cheese, box cereal, potato flakes, couple snacks, roll tp, disposable plates and bowls, glass cup, mixing spoon.","https://drive.google.com/u/1/open?usp=forms_web&id=1sJXwgFXRSf070ZGP67eUoCd3mPM-Gco7",""
"2025/01/26 12:35:08 AM GMT+2","153","Yes, it still exists.","225 N 70th","MJHV+QRH Seattle, Washington","Both fridge and non-refrigerated space","Non-profit organization (e.g. by a church of food bank)","Yes for the fridge, no for the unrefrigerated pantry","Outdoor with a cover","40 H, 34 W, 11 L","5","Has a bolt, doors are misaligned, making it hard to latch","Fridge: 12+ each: Salads, sandwiches, cut fresh fruit. Half dozen deli containers (U District Food Bank made a drop off when I was there. Several people were apparently waiting for the food to arrive)
Pantry: Box of cereal, 2 boxes puppy chow, 1 tortillas, 6 cans ready to heat meals","https://drive.google.com/u/1/open?usp=forms_web&id=1Ieu8CUvKPh2-Jn6rmVIA5u4iivBUDqKE",""
"2025/01/26 8:21:11 PM GMT+2","167","Yes, it still exists.","3244 31st Ave W","","Non-refrigerated","Private residence (e.g. on someone frontyard)","Yes","Outdoor without a cover","27H, 25w, 32L","0","Yes","6 cans of beans and soup, jugs of sauce and turkey gravy, few loose tea bags","https://drive.google.com/u/1/open?usp=forms_web&id=1Uv81wdQeHUHuGFJ55TqglSKyBgagoq8w",""
"2025/01/26 9:25:51 PM GMT+2","3173","Yes, it still exists.","15 Roy St, Seattle, WA 98109","","Non-refrigerated","Non-profit organization (e.g. by a church of food bank)","Yes","Outdoor without a cover","40 h, 20 w, 40 L","2","Two doors","6 can of vegetables, one box of cookies, soap, one chicken breast ","https://drive.google.com/u/1/open?usp=forms_web&id=1UXIQUobbpqXVbOkyDv-sSFQ_oLP3kqfd","Chicken breast is wrapped is in a container wrapped on plastic. As of Sunday 1/26 at 11:30am is almost empty "
"2025/01/26 9:28:32 PM GMT+2","256","Yes, it still exists."," 2557 35th Ave W","","Non-refrigerated","Private residence (e.g. on someone frontyard)","Yes","Outdoor without a cover","35h, 20w, 23l","2","Yes","Books","https://drive.google.com/u/1/open?usp=forms_web&id=1bw63epqNPtkxSj1njdrwtcH9BN8pN1vB",""
"2025/01/26 9:30:39 PM GMT+2","166","Yes, it still exists.","3220 Magnolia Blvd W","","Non-refrigerated","Private residence (e.g. on someone frontyard)","Yes","Outdoor without a cover","30 h, 20 w , 23 l","2 ","Yes","Books","https://drive.google.com/u/1/open?usp=forms_web&id=1xr0Oj6kUYL52hqPqFfffQT7S-iogEJe6",""
"2025/01/26 9:32:57 PM GMT+2","182","Yes, it still exists.","3838 35th Ave W","","Non-refrigerated","Private residence (e.g. on someone frontyard)","Yes","Outdoor without a cover","25h, 20w, 25 l","1","Yes","Books","https://drive.google.com/u/1/open?usp=forms_web&id=1HXzHgmh-tMcidZUciznMeQ-zBmuCu2KH",""
"2025/01/29 1:44:43 AM GMT+2","200","Yes, it still exists.","4815 41st Ave SW ","(47.5583938, -122.3841588)","Non-refrigerated","Public property (e.g. park or sidewalk)","Yes","Outdoor with a cover"," 17 H, 20 W, 14.5 L","1","Yes","1 bag beans, 1can tuna, 1box tea, 1 bubble tea, 1pack dried berries, 1bag Bimbosan, 3 cans cat food.","https://drive.google.com/u/1/open?usp=forms_web&id=1CBYQEDo8b9-9oxqFoMxnnjStqj6Z8Wlb",""
