id,name,lat,lon,city,zip,county,state,data_source,detail,contact,additional_location_info,image_link,exists,address,validation_date,lat_lon,type_fridge,location_type,overhead_protection,outdoors_or_indoors,size,number_shelves,tight_fitting_door,contents,photo,additional_info,validated,width,length,height
0,NA,47.7318125,-122.3464375,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes, it still exists.",14300 linden Ave n,2025/03/08 9:11:55 PM GMT+2,"PMJ3+PC Seattle, Washington",Non-refrigerated,Public property (e.g. park or sidewalk),No,Outdoor with a cover,"21,28,17",1,No,"Bag of nuts, pack of ramen, bag of pasta, hamburger buns, bottle of orajel ",https://drive.google.com/u/1/open?usp=forms_web&id=18eYFpY6FgPfb2kyJ63WAHxmcu3TM8XV0,There are 3 pantry boxes. None of them have doors. ,yes,28,17,21
1,Rolling Bay Presbyterian Church -Eagle Scout Project by Bjorn Addington,47.664671,-122.510231,Bainbridge Island,98110,Kitsap,Washington,Little Free Pantry - Mini Pantry Movement,Shared Pantry,jessica@littlefreepantry.org,,http://mapping.littlefreepantry.org/media/pantry_images/bdc29a80455148a9ba8b71533b75f6c6/20210123_154704.jpg http://mapping.littlefreepantry.org/media/pantry_images/bdc29a80455148a9ba8b71533b75f6c6/20210123_154658.jpg,NA,11042 Sunrise Drive NE,not yet validated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA
2,William Renton Lodge No. 29,47.635619,-122.525951,Bainbridge Island,98110,Kitsap,Washington,Little Free Pantry - Mini Pantry Movement,Shared Pantry,WmRentonSecretary@gmail.com,,http://mapping.littlefreepantry.org/media/pantry_images/ae1a6d827d04425db13ab810a933244c/20180506_152035-01.jpeg,NA,1299 Grow Ave NE,not yet validated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA
3,Granny Barb and Cha Cha's Community Kitchen,47.633098,-122.513146,Bainbridge Island,98110,Kitsap,Washington,Little Free Pantry - Mini Pantry Movement,Shared Pantry,kayceetaylor11@gmail.com,,http://mapping.littlefreepantry.org/media/pantry_images/5a9bd458bc524f5982bdf6df4893103a/20210114_164559.jpg,NA,631 Eagle Cliff Rd NE,not yet validated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA
4,The Little Free Pantry,47.612405,-122.129603,Bellevue,98008,King,Washington,The Little Free Pantry network,Shared Pantry,https://www.thelittlefreepantries.org/find-a-pantry,,https://doc-0g-4o-mymaps.googleusercontent.com/untrusted/hostedimage/hhdb5kbpa7oj96mjit7agv4qug/v25hk8mb2uavel4grddroqr21o/1657652187750/BE36q7KSkKfiOTcTr861PT6LU2GXLiZL/17436084610348673502/5AIsG_vZOmknAh6Yj3PPxWjXABaB-9qnbWqVJzjrGHpj0A1bs4p7Q4RUcDqgomY97t5RYpOwtqk5RVk94vFpnbTUxCX-4YyyWdkRCSqzcBeC56czByYN5cXpFHSZVjJCCAQkUBS1yDGCv8h45p_QFG97tijSrmhCrCXxWjkp0cWHWmRhPzfOvoNAhBwJ2KfXrKVTv3TE?session=0&fife=s16383,NA,15727 NE 4th St,not yet validated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA
5,The Little Free Pantry,48.762977,-122.451051,Bellingham,98229,Whatcom,Washington,The Little Free Pantry network,Shared Pantry,https://www.thelittlefreepantries.org/find-a-pantry,,https://doc-14-4o-mymaps.googleusercontent.com/untrusted/hostedimage/hhdb5kbpa7oj96mjit7agv4qug/js3o9a6u3hfooi7umg4rffpaoo/1657652187750/BE36q7KSkKfiOTcTr861PT6LU2GXLiZL/17436084610348673502/5AIsG_vawTk2XnG5BijF4z2r_FYP6sfgKdtz1kwml4dFjTy_nM3BVg4PVb4KK_vP7gECU2TGdjXAy9ZrqVNm6_CJpN57IE0YLORpJNDelFd7yxpUiXxygxlhzZBAP2__5mxFjDzQeTlaqQcpCKy7bDBEwsCuR3cCImfLv7JaZJ4OQ-8ADPoiqbJQFh5Rc6KgeVEMHUuhN?session=0&fife=s16383,NA,1714 Alabama St,not yet validated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA
6,St. John's Lutheran Little Free Pantry,48.76426,-122.474452,Bellingham,98225,Whatcom,Washington,Little Free Pantry - Mini Pantry Movement,Shared Pantry,office.stjohnsbellingham@gmail.com,,http://mapping.littlefreepantry.org/media/pantry_images/756684902c364111addbed29711eac8b/LFP_1.jpg http://mapping.littlefreepantry.org/media/pantry_images/756684902c364111addbed29711eac8b/LFP_2.jpg,NA,2530 Cornwall Ave. ,not yet validated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA
7,Chicken Whisperer,47.149147,-122.143802,Bonney Lake,98391,Pierce,Washington,Little Free Pantry - Mini Pantry Movement,Shared Pantry,pipkinkiarra@gmail.com,,http://mapping.littlefreepantry.org/media/pantry_images/4c9963bb6e134bcdb8f384bddde9bee0/16215527844092304953017743164629.jpg http://mapping.littlefreepantry.org/media/pantry_images/4c9963bb6e134bcdb8f384bddde9bee0/1621552804769930252363441178705.jpg,NA,11801 214th Ave E ,not yet validated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA
8,The Giving Tree,47.147555,-122.138226,Bonney Lake,98391,Pierce,Washington,Little Free Pantry - Mini Pantry Movement,Shared Pantry,mb.kirby17@gmail.com,,http://mapping.littlefreepantry.org/media/pantry_images/4e6bfbc4983d47fb8dbebbc3fb73a0f9/694B9647-0425-4717-BFBD-AA033A78EE51.jpeg,NA,12005 218th Ave Ct E ,not yet validated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA
9,Tall Trees Pantry,47.133377,-122.138426,Bonney Lake,98391,Pierce,Washington,Little Free Pantry - Mini Pantry Movement,Shared Pantry,Lisa.jensen42@hotmail.com,,http://mapping.littlefreepantry.org/media/pantry_images/e43123b57435484a9c47142d6f5a0e2a/IMG_20210713_184017928_HDR.jpg,NA,13510 Cedar Circle East ,not yet validated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA
10,Lil' Paws Pantry,47.124407,-122.141882,Bonney Lake,98391,Pierce,Washington,Little Free Pantry - Mini Pantry Movement,Shared Pantry,Allthingsmindful@yahoo.com,,,NA,14515 Prairie Ridge Dr E ,not yet validated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA
11,Neighborhood Free Pantry & Library,47.140586,-122.154125,Bonney Lake,98391,Pierce,Washington,Little Free Pantry - Mini Pantry Movement,Shared Pantry,gaublins@msn.com,,http://mapping.littlefreepantry.org/media/pantry_images/6d4142b5bc6d4fc7b07e356441f5bb36/Pantry_1.jpg http://mapping.littlefreepantry.org/media/pantry_images/6d4142b5bc6d4fc7b07e356441f5bb36/Pantry_2.jpg,NA,20716 127th St. E.,not yet validated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA
12,North Bothell Little Free Pantry,47.816669,-122.230939,Bothell,98012,King,Washington,Little Free Pantry - Mini Pantry Movement,Shared Pantry,peony1955@gmail.com,,http://mapping.littlefreepantry.org/media/pantry_images/b626a939cf0b4359967f5e67a01f0c23/bothell.jpeg,NA,19 199th Pl SE ,not yet validated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,NA,NA,NA
13,Eastside Church Free Pantry,47.733355,-122.20698,Bothell,98011,King,Washington,Little Free Pantry - Mini Pantry Movement,Shared Pantry,danielles@eastsidechurch.org,,,"Yes, it still exists.",14520 100th Ave. NE,2025/01/29 2:59:33 AM GMT+2,47.73396N 122.20768W,Non-refrigerated,Non-profit organization (e.g. by a church of food bank),Yes,Outdoor with a cover,"26""H, 25""W, 14""L",2,"There are doors, not especially tight and the latch is a little shakey","5 cans, box of maccaroni dinner, pack of stuffing mix",https://drive.google.com/u/1/open?usp=forms_web&id=1RmGLdbtNZiGBTn2WsNqlAuoa-PmAnt7-,"hard to recognize it from 100th Ave  It faces the church parking lot, set back from 100th by ~30 feet",yes,25,14,26
